Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2015-06-28,2,686.349904220686,1,2.0,19.875,10,
2016-06-18,2,455.115566690297,1,6.0,18.0,12,21.0
2016-06-19,2,515.510722561944,1,7.0,16.0,14,
2016-06-20,2,414.129888774016,1,4.0,20.875,10,61.0
2016-06-21,2,390.81874030213,1,4.0,19.875,9,
2016-06-22,2,437.625292013129,1,5.0,22.125,9,61.0
2016-06-23,2,444.85642620105,1,5.0,27.875,8,
2016-06-24,2,504.789708077128,1,5.0,24.125,9,
2016-06-25,2,770.940264429072,1,7.0,18.25,14,95.0
2016-06-26,2,673.058408685448,1,5.0,19.25,11,0.0
2017-06-17,2,578.780125724772,1,0.0,20.125,15,0.0
2017-06-18,2,586.165188828483,1,2.0,24.25,9,
2017-06-19,2,382.488175663817,1,1.0,25.375,7,0.0
2017-06-20,2,434.849517951858,1,0.0,20.75,12,0.0
2017-06-21,2,430.906719081176,1,3.0,18.75,10,
2017-06-22,2,418.672448020086,1,3.0,20.25,10,95.0
2017-06-23,2,439.210505371538,1,7.0,17.25,14,61.0
2017-06-24,2,631.28176537999,1,6.0,17.875,19,61.0
2017-06-25,2,577.997897373246,1,7.0,17.25,16,20.0
2018-06-16,2,536.452348266225,1,5.0,21.325,7,95.0
2018-06-17,2,561.16613003467,1,5.0,18.275,12,61.0
2018-06-18,2,453.773846005242,1,7.0,17.6375,9,61.0
2018-06-19,2,439.387692233904,1,3.0,19.2375,16,21.0
2018-06-20,2,438.20673354481,1,3.0,23.65,13,0.0
2018-06-21,2,425.408065202863,1,7.0,11.5625,15,65.0
2018-06-22,2,443.18009337283,1,5.0,15.575,20,61.0
2018-06-23,2,706.424379766017,1,7.0,14.3,18,61.0
2018-06-24,2,579.887614059894,1,6.0,16.2375,10,21.0
2014-06-21,3,266.758833683806,1,6.0,15.5125,18,61.0
2014-06-22,3,256.961787120751,1,5.0,15.7,19,
2014-06-23,3,190.742545388738,1,4.0,16.5,17,
2014-06-24,3,193.611313869673,1,7.0,14.3625,7,21.0
2014-06-25,3,177.06025159912,1,0.0,18.4375,10,
2014-06-26,3,231.944214454895,1,6.0,17.575,8,63.0
2014-06-27,3,232.1659297551,1,4.0,20.1625,7,95.0
2014-06-28,3,396.51241111032,1,6.0,16.9625,6,95.0
2014-06-29,3,288.960776618001,1,7.0,17.3125,8,61.0
2015-06-20,3,220.298734884554,1,5.0,17.125,13,
2015-06-21,3,206.347777642486,1,6.0,15.75,6,
2015-06-22,3,183.964615046141,1,5.0,13.5,8,61.0
2015-06-23,3,172.407057152837,1,5.0,16.5,10,21.0
2015-06-24,3,179.618053020787,1,8.0,12.625,14,61.0
2015-06-25,3,169.658267286,1,6.0,17.125,8,21.0
2015-06-26,3,181.11146289077,1,7.0,19.25,5,61.0
2015-06-27,3,274.594255311076,1,7.0,19.375,16,61.0
2015-06-28,3,248.020004494018,1,2.0,19.875,10,
2016-06-18,3,210.995958062752,1,6.0,18.0,12,21.0
2016-06-19,3,221.472814024848,1,7.0,16.0,14,
2016-06-20,3,160.366420638134,1,4.0,20.875,10,61.0
2016-06-21,3,147.991076622665,1,4.0,19.875,9,
2016-06-22,3,132.946056097799,1,5.0,22.125,9,61.0
2016-06-23,3,161.58432145411,1,5.0,27.875,8,
2016-06-24,3,161.274225315318,1,5.0,24.125,9,
2016-06-25,3,330.478660501536,1,7.0,18.25,14,95.0
2016-06-26,3,240.674329382729,1,5.0,19.25,11,0.0
2017-06-17,3,289.376417642361,1,0.0,20.125,15,0.0
2017-06-18,3,301.35058891641,1,2.0,24.25,9,
2017-06-19,3,211.583246910582,1,1.0,25.375,7,0.0
2017-06-20,3,181.240683684111,1,0.0,20.75,12,0.0
2017-06-21,3,181.547354525725,1,3.0,18.75,10,
2017-06-22,3,143.490671929285,1,3.0,20.25,10,95.0
2017-06-23,3,172.344413428855,1,7.0,17.25,14,61.0
2017-06-24,3,367.632769652741,1,6.0,17.875,19,61.0
2017-06-25,3,257.372454543866,1,7.0,17.25,16,20.0
2018-06-16,3,249.755999609154,1,5.0,21.325,7,95.0
2018-06-17,3,301.987694387114,1,5.0,18.275,12,61.0
2018-06-18,3,183.905575463908,1,7.0,17.6375,9,61.0
2018-06-19,3,167.94911352995,1,3.0,19.2375,16,21.0
2018-06-20,3,178.485146197655,1,3.0,23.65,13,0.0
2018-06-21,3,165.510528887169,1,7.0,11.5625,15,65.0
2018-06-22,3,205.270413262478,1,5.0,15.575,20,61.0
2018-06-23,3,339.700511154661,1,7.0,14.3,18,61.0
2018-06-24,3,312.533160106558,1,6.0,16.2375,10,21.0
2014-06-21,4,55.3784359085427,1,6.0,15.5125,18,61.0
2014-06-22,4,112.87846427577,1,5.0,15.7,19,
2014-06-23,4,89.1125310007438,1,4.0,16.5,17,
2014-06-24,4,80.6814437485115,1,7.0,14.3625,7,21.0
2014-06-25,4,74.4274080594379,1,0.0,18.4375,10,
2014-06-26,4,84.8155438313241,1,6.0,17.575,8,63.0
2014-06-27,4,65.0878866069292,1,4.0,20.1625,7,95.0
2014-06-28,4,105.33599228222,1,6.0,16.9625,6,95.0
2014-06-29,4,139.687762195994,1,7.0,17.3125,8,61.0
2015-06-21,4,79.6238577111724,1,6.0,15.75,6,
2015-06-22,4,95.7934490225752,1,5.0,13.5,8,61.0
2015-06-23,4,59.3399435978971,1,5.0,16.5,10,21.0
2015-06-24,4,136.751450668224,1,8.0,12.625,14,61.0
2015-06-25,4,76.9256449556744,1,6.0,17.125,8,21.0
2015-06-26,4,133.675162322483,1,7.0,19.25,5,61.0
2015-06-27,4,51.4184892058944,1,7.0,19.375,16,61.0
2015-06-28,4,92.6062037819606,1,2.0,19.875,10,
2016-06-18,4,74.0956742931782,1,6.0,18.0,12,21.0
2016-06-19,4,157.876050195996,1,7.0,16.0,14,
2016-06-20,4,80.4346390087438,1,4.0,20.875,10,61.0
2016-06-21,4,75.1865037322638,1,4.0,19.875,9,
2016-06-22,4,46.4521045149254,1,5.0,22.125,9,61.0
2016-06-23,4,77.5616208592352,1,5.0,27.875,8,
2016-06-25,4,80.143148747234,1,7.0,18.25,14,95.0
2016-06-26,4,103.99952080863,1,5.0,19.25,11,0.0
2017-06-17,4,72.512643357311,1,0.0,20.125,15,0.0
2017-06-18,4,71.2599878811923,1,2.0,24.25,9,
2017-06-19,4,66.5031569430632,1,1.0,25.375,7,0.0
2017-06-20,4,59.7710397044917,1,0.0,20.75,12,0.0
2017-06-21,4,74.2881182284261,1,3.0,18.75,10,
2017-06-22,4,93.3756723023931,1,3.0,20.25,10,95.0
2017-06-23,4,79.9477044026905,1,7.0,17.25,14,61.0
2017-06-24,4,62.1562035019027,1,6.0,17.875,19,61.0
2017-06-25,4,94.280904248875,1,7.0,17.25,16,20.0
2018-06-16,4,79.9425697031279,1,5.0,21.325,7,95.0
2018-06-17,4,105.970913596347,1,5.0,18.275,12,61.0
2018-06-18,4,52.4623142900464,1,7.0,17.6375,9,61.0
2018-06-19,4,47.8861290193053,1,3.0,19.2375,16,21.0
2018-06-20,4,68.6435116412585,1,3.0,23.65,13,0.0
2018-06-21,4,50.3503164926632,1,7.0,11.5625,15,65.0
2018-06-22,4,62.6581464475431,1,5.0,15.575,20,61.0
2018-06-23,4,49.884049264678,1,7.0,14.3,18,61.0
2018-06-24,4,68.6194271147451,1,6.0,16.2375,10,21.0
2014-06-21,5,398.075088856397,1,6.0,15.5125,18,61.0
2014-06-22,5,399.756375802425,1,5.0,15.7,19,
2014-06-23,5,331.768630064753,1,4.0,16.5,17,
2014-06-24,5,293.582453806941,1,7.0,14.3625,7,21.0
2014-06-25,5,359.294724220182,1,0.0,18.4375,10,
2014-06-26,5,379.567358758783,1,6.0,17.575,8,63.0
2014-06-27,5,371.32461993901,1,4.0,20.1625,7,95.0
2014-06-28,5,498.133552158124,1,6.0,16.9625,6,95.0
2014-06-29,5,316.483478198112,1,7.0,17.3125,8,61.0
2015-06-20,5,280.186941692026,1,5.0,17.125,13,
2015-06-21,5,235.514638799317,1,6.0,15.75,6,
2015-06-22,5,254.862522218275,1,5.0,13.5,8,61.0
2015-06-23,5,270.726957416684,1,5.0,16.5,10,21.0
2015-06-24,5,300.990362700812,1,8.0,12.625,14,61.0
2015-06-25,5,271.335895693763,1,6.0,17.125,8,21.0
2015-06-26,5,304.239937730854,1,7.0,19.25,5,61.0
2015-06-27,5,428.433111120672,1,7.0,19.375,16,61.0
2015-06-28,5,309.491842337963,1,2.0,19.875,10,
2016-06-18,5,297.196176882937,1,6.0,18.0,12,21.0
2016-06-19,5,258.683021783885,1,7.0,16.0,14,
2016-06-20,5,261.929083791593,1,4.0,20.875,10,61.0
2016-06-21,5,250.953444723129,1,4.0,19.875,9,
2016-06-22,5,245.204941108968,1,5.0,22.125,9,61.0
2016-06-23,5,231.264672708937,1,5.0,27.875,8,
2016-06-24,5,241.758175059788,1,5.0,24.125,9,
2016-06-25,5,402.98066537422,1,7.0,18.25,14,95.0
2016-06-26,5,265.456146687391,1,5.0,19.25,11,0.0
2017-06-17,5,352.506179682214,1,0.0,20.125,15,0.0
2017-06-18,5,216.356703017971,1,2.0,24.25,9,
2017-06-19,5,266.040845002576,1,1.0,25.375,7,0.0
2017-06-20,5,239.596188002166,1,0.0,20.75,12,0.0
2017-06-21,5,232.925986116455,1,3.0,18.75,10,
2017-06-22,5,231.444516999084,1,3.0,20.25,10,95.0
2017-06-23,5,335.567446461642,1,7.0,17.25,14,61.0
2017-06-24,5,448.004437068748,1,6.0,17.875,19,61.0
2017-06-25,5,305.520160355371,1,7.0,17.25,16,20.0
2018-06-16,5,209.362082944004,1,5.0,21.325,7,95.0
2018-06-17,5,351.208968634828,1,5.0,18.275,12,61.0
2018-06-18,5,368.908774188599,1,7.0,17.6375,9,61.0
2018-06-19,5,271.817641139495,1,3.0,19.2375,16,21.0
2018-06-20,5,329.991266466933,1,3.0,23.65,13,0.0
2018-06-21,5,301.074413373322,1,7.0,11.5625,15,65.0
2018-06-22,5,349.50958339019,1,5.0,15.575,20,61.0
2018-06-23,5,662.369320660577,1,7.0,14.3,18,61.0
2018-06-24,5,275.941582346904,1,6.0,16.2375,10,21.0
